depth (m abs)	year
2.84	1799.07775
2.841	1799.075558
2.842	1799.073366
2.843	1799.071174
2.844	1799.068982
2.845	1799.066789
2.846	1799.064598
2.847	1799.062406
2.848	1799.060214
2.849	1799.058022
2.85	1799.05583
2.851	1799.053638
2.852	1799.051446
2.853	1799.049254
2.854	1799.047062
2.855	1799.04487
2.856	1799.042678
2.857	1799.040486
2.858	1799.038294
2.859	1799.036103
2.86	1799.033911
2.861	1799.031718
2.862	1799.029526
2.863	1799.027334
2.864	1799.025142
2.865	1799.022951
2.866	1799.020759
2.867	1799.018567
2.868	1799.016374
2.869	1799.014182
2.87	1799.01199
2.871	1799.009799
2.872	1799.007607
2.873	1799.005415
2.874	1799.003223
2.875	1799.001031
2.876	1798.998838
2.877	1798.996647
2.878	1798.994455
2.879	1798.992263
2.88	1798.990071
2.881	1798.987879
2.882	1798.985687
2.883	1798.983495
2.884	1798.981303
2.885	1798.979111
2.886	1798.976919
2.887	1798.974727
2.888	1798.972535
2.889	1798.970343
2.89	1798.968151
2.891	1798.96596
2.892	1798.963767
2.893	1798.961575
2.894	1798.959383
2.895	1798.957191
2.896	1798.954999
2.897	1798.952808
2.898	1798.950616
2.899	1798.9487
2.9	1798.946893
2.901	1798.945086
2.902	1798.943279
2.903	1798.941472
2.904	1798.939665
2.905	1798.937858
2.906	1798.936051
2.907	1798.934244
2.908	1798.932437
2.909	1798.93063
2.91	1798.928822
2.911	1798.927015
2.912	1798.925208
2.913	1798.923401
2.914	1798.921594
2.915	1798.919787
2.916	1798.91798
2.917	1798.916173
2.918	1798.914365
2.919	1798.912558
2.92	1798.910751
2.921	1798.908944
2.922	1798.907137
2.923	1798.90533
2.924	1798.903523
2.925	1798.901716
2.926	1798.899908
2.927	1798.898101
2.928	1798.896294
2.929	1798.894487
2.93	1798.89268
2.931	1798.890873
2.932	1798.889066
2.933	1798.887259
2.934	1798.885451
2.935	1798.883644
2.936	1798.881837
2.937	1798.88003
2.938	1798.878223
2.939	1798.876416
2.94	1798.874609
2.941	1798.872802
2.942	1798.870994
2.943	1798.869187
2.944	1798.86738
2.945	1798.865573
2.946	1798.863766
2.947	1798.861959
2.948	1798.860152
2.949	1798.858345
2.95	1798.856537
2.951	1798.85473
2.952	1798.852923
2.953	1798.851116
2.954	1798.849309
2.955	1798.847502
2.956	1798.845695
2.957	1798.843887
2.958	1798.84208
2.959	1798.840273
2.96	1798.838466
2.961	1798.836659
2.962	1798.834852
2.963	1798.833045
2.964	1798.831238
2.965	1798.82943
2.966	1798.827623
2.967	1798.825816
2.968	1798.824009
2.969	1798.822202
2.97	1798.820395
2.971	1798.818588
2.972	1798.816781
2.973	1798.814973
2.974	1798.813166
2.975	1798.811359
2.976	1798.809552
2.977	1798.807745
2.978	1798.805938
2.979	1798.804131
2.98	1798.802324
2.981	1798.800516
2.982	1798.798709
2.983	1798.796902
2.984	1798.795095
2.985	1798.793288
2.986	1798.791481
2.987	1798.789674
2.988	1798.787867
2.989	1798.786059
2.99	1798.784252
2.991	1798.782445
2.992	1798.780638
2.993	1798.778831
2.994	1798.777024
2.995	1798.775217
2.996	1798.77341
2.997	1798.771602
2.998	1798.769795
2.999	1798.767988
3	1798.766181
3.001	1798.764374
3.002	1798.762567
